geoid,R,W,Fii
26093710100,43,582,0
26093710300,268,1386,0
26093710500,67,455,0
26093710700,45,620,0
26093711000,183,1267,0
26093712101,49,1101,0
26093712102,136,977,0
26093712601,109,1614,0
26093712602,194,1319,0
26093713100,694,1542,0
26093713300,888,619,0
26093713500,382,1383,0
26093713700,486,1628,0
26093720100,81,1130,0
26093721100,96,1143,0
26093722100,169,1059,0
26093722300,1031,985,0
26093722500,177,903,0
26093724001,2529,874,0
26093724002,658,867,0
26093724003,109,1097,0
26093725000,2996,1801,0
26093725101,2345,1685,0
26093730101,77,1047,0
26093730102,235,1460,0
26093730600,224,1440,0
26093731100,69,1320,0
26093732100,120,1141,0
26093733100,180,681,0
26093733603,562,1355,0
26093733604,118,942,0
26093740200,637,1250,0
26093740300,1892,872,0
26093740500,525,820,0
26093740600,455,1106,0
26093740700,156,948,0
26093740800,1085,859,0
26093740900,1098,776,0
26093741100,3585,775,0
26093741601,1781,644,0
26093741602,769,1226,0
26093742201,807,1046,0
26093742202,1482,731,0
26093742403,2957,1804,0
26093742500,160,845,0
26093742700,215,1182,0
26093742900,786,1291,0
26093743300,102,923,0
26093743400,129,1415,0
26093743500,62,787,0
26093743600,274,1197,0
26093743700,1132,1003,0
26093743800,374,1400,0
26093743900,237,1332,0
26093744200,1901,1375,0
26093744400,783,852,0
26093744600,932,799,0
26093744700,105,1004,0
26093744800,1615,1500,0
26093744900,24,1305,0
26099206700,2872,1342,0
26099210000,877,1700,0
26099211000,1659,2192,0
26099212000,1249,1877,0
26099214000,656,1155,0
26099214500,371,1703,0
26099215000,1494,2148,0
26099215201,262,1973,0
26099215202,1572,1104,0
26099215300,1124,1729,0
26099215500,404,2699,0
26099216000,345,1471,0
26099217000,119,1115,0
26099218001,700,2270,0
26099218002,562,1004,0
26099220002,1298,1839,0
26099220003,134,2193,0
26099220004,272,1001,0
26099221100,5529,2918,0
26099221200,333,2448,0
26099221500,1166,519,0
26099221800,216,2094,0
26099222103,1203,1152,0
26099222104,20,1286,0
26099222105,833,1931,0
26099222106,508,1781,0
26099222500,663,1531,0
26099222800,139,1318,0
26099223401,318,2841,0
26099223402,1036,2177,0
26099223500,60,717,0
26099223801,99,1691,0
26099223802,639,3176,0
26099223803,140,1450,0
26099223901,227,2104,0
26099223902,1672,1303,0
26099224001,1322,3392,0
26099224002,144,1924,0
26099224101,337,1753,0
26099224102,241,1683,0
26099224201,530,1510,0
26099224202,549,2015,0
26099224300,176,1996,0
26099224400,300,2073,0
26099224500,276,1601,0
26099224600,459,2453,0
26099225100,1914,1384,0
26099225200,1582,2597,0
26099225300,239,1751,0
26099225401,253,1655,0
26099225402,224,1132,0
26099225500,405,2112,0
26099225600,460,1778,0
26099225701,430,2213,0
26099225702,94,745,0
26099225800,2025,2679,0
26099225900,1066,2013,0
26099226101,654,1330,0
26099226102,178,1605,0
26099226400,5315,1052,0
26099226700,4391,1859,0
26099227000,1569,2356,0
26099227300,2172,1624,0
26099228000,1868,1426,0
26099228100,2954,609,0
26099230000,2654,1650,0
26099230200,82,2005,0
26099230300,2051,1757,0
26099230400,46,1571,0
